Tempo;U_t;V_t;A_t
20.394;2.464E-2;-4.000E-3;1.098
20.428;2.514E-2;3.369E-2;1.019
20.461;2.689E-2;6.470E-2;0.786
20.494;2.946E-2;8.574E-2;0.447
20.527;3.260E-2;9.506E-2;9.330E-2
20.561;3.579E-2;9.154E-2;-0.308
20.594;3.870E-2;7.497E-2;-0.648
20.627;4.079E-2;4.761E-2;-0.902
20.661;4.187E-2;1.487E-2;-0.987
20.694;4.178E-2;-1.877E-2;-0.973
20.727;4.062E-2;-4.986E-2;-0.862
20.761;3.846E-2;-7.663E-2;-0.622
20.794;3.552E-2;-9.198E-2;-0.280
20.827;3.233E-2;-9.481E-2;0.127
20.861;2.920E-2;-8.414E-2;0.493
20.894;2.672E-2;-6.118E-2;0.829
20.927;2.512E-2;-2.921E-2;1.020
20.961;2.477E-2;7.698E-3;1.080
20.994;2.563E-2;4.284E-2;0.940
21.027;2.763E-2;7.105E-2;0.708
21.061;3.037E-2;8.975E-2;0.358
21.094;3.361E-2;9.566E-2;-2.481E-2
21.127;3.674E-2;8.750E-2;-0.443
21.161;3.944E-2;6.653E-2;-0.729
21.194;4.118E-2;3.775E-2;-0.919
21.227;4.196E-2;5.715E-3;-0.984
21.261;4.156E-2;-2.845E-2;-0.951
21.294;4.006E-2;-5.802E-2;-0.797
21.327;3.769E-2;-8.149E-2;-0.522
21.361;3.463E-2;-9.368E-2;-0.175
21.394;3.145E-2;-9.259E-2;0.237
21.427;2.846E-2;-7.844E-2;0.589
21.461;2.622E-2;-5.259E-2;0.898
21.494;2.495E-2;-1.876E-2;1.055
21.527;2.497E-2;1.854E-2;1.063
21.561;2.619E-2;5.226E-2;0.869
21.594;2.845E-2;7.706E-2;0.591
21.627;3.132E-2;9.131E-2;0.245
21.661;3.454E-2;9.389E-2;-0.139
21.694;3.758E-2;8.194E-2;-0.528
21.727;4.000E-2;5.837E-2;-0.799
21.760;4.147E-2;2.829E-2;-0.930
21.794;4.188E-2;-3.834E-3;-0.980
21.827;4.122E-2;-3.693E-2;-0.924
21.860;3.942E-2;-6.621E-2;-0.727
21.894;3.680E-2;-8.554E-2;-0.429
21.927;3.372E-2;-9.471E-2;-5.190E-2
21.960;3.049E-2;-8.966E-2;0.339
21.994;2.774E-2;-7.131E-2;0.688
22.027;2.574E-2;-4.402E-2;0.936
22.060;2.481E-2;-8.612E-3;1.085
22.094;2.516E-2;2.884E-2;1.032
22.127;2.673E-2;6.069E-2;0.807
22.160;2.921E-2;8.272E-2;0.529
22.194;3.225E-2;9.578E-2;0.170
22.227;3.559E-2;9.497E-2;-0.280
22.260;3.858E-2;7.675E-2;-0.662
22.294;4.071E-2;4.998E-2;-0.873
22.327;4.191E-2;1.885E-2;-0.935
22.360;4.197E-2;-1.311E-2;-0.948
22.394;4.103E-2;-4.382E-2;-0.853
22.427;3.904E-2;-7.081E-2;-0.669
22.460;3.631E-2;-8.836E-2;-0.334
22.494;3.315E-2;-9.351E-2;3.903E-2
22.527;3.008E-2;-8.543E-2;0.420
22.560;2.746E-2;-6.565E-2;0.748
22.594;2.571E-2;-3.528E-2;1.007
22.627;2.511E-2;1.776E-3;1.069
22.660;2.582E-2;3.693E-2;0.984
22.694;2.757E-2;6.692E-2;0.736
22.727;3.028E-2;8.712E-2;0.416
22.760;3.338E-2;9.398E-2;1.293E-2
22.794;3.655E-2;8.847E-2;-0.373
22.827;3.927E-2;6.892E-2;-0.711
22.860;4.114E-2;4.056E-2;-0.896
22.893;4.198E-2;8.929E-3;-0.930
22.927;4.174E-2;-2.175E-2;-0.918
22.960;4.053E-2;-5.188E-2;-0.824
22.993;3.828E-2;-7.758E-2;-0.592
23.027;3.536E-2;-9.146E-2;-0.222
23.060;3.218E-2;-9.238E-2;0.181
23.093;2.920E-2;-7.953E-2;0.525
23.127;2.688E-2;-5.675E-2;0.819
23.160;2.542E-2;-2.540E-2;1.018
23.193;2.519E-2;1.193E-2;1.086
23.227;2.621E-2;4.729E-2;0.934
23.260;2.834E-2;7.470E-2;0.630
23.293;3.119E-2;8.944E-2;0.298
23.327;3.430E-2;9.405E-2;-0.102
23.360;3.746E-2;8.386E-2;-0.466
23.393;3.989E-2;6.146E-2;-0.769
23.427;4.156E-2;3.320E-2;-0.893
23.460;4.211E-2;1.016E-3;-0.958
23.493;4.162E-2;-3.042E-2;-0.919
23.527;4.008E-2;-6.055E-2;-0.777
23.560;3.759E-2;-8.284E-2;-0.474
23.593;3.456E-2;-9.232E-2;-0.104
23.627;3.144E-2;-8.957E-2;0.277
23.660;2.859E-2;-7.410E-2;0.624
23.693;2.650E-2;-4.746E-2;0.913
23.727;2.542E-2;-1.325E-2;1.072
23.760;2.561E-2;2.452E-2;1.013
23.793;2.706E-2;5.523E-2;0.809
23.827;2.930E-2;7.765E-2;0.516
23.860;3.223E-2;9.062E-2;0.200
23.893;3.534E-2;9.051E-2;-0.215
23.927;3.827E-2;7.681E-2;-0.570
23.960;4.046E-2;5.169E-2;-0.839
23.993;4.171E-2;2.094E-2;-0.925
24.027;4.185E-2;-1.064E-2;-0.926
24.060;4.100E-2;-4.046E-2;-0.847
24.093;3.915E-2;-6.757E-2;-0.681
24.126;3.650E-2;-8.618E-2;-0.371
24.160;3.341E-2;-9.247E-2;-4.938E-4
24.193;3.034E-2;-8.607E-2;0.389
24.226;2.767E-2;-6.673E-2;0.708
24.260;2.589E-2;-3.819E-2;0.956
24.293;2.513E-2;-3.318E-3;1.068
24.326;2.567E-2;3.383E-2;1.020
24.360;2.738E-2;6.496E-2;0.749
24.393;3.000E-2;8.424E-2;0.406
24.426;3.300E-2;9.154E-2;4.429E-2
24.460;3.610E-2;8.758E-2;-0.314
24.493;3.884E-2;7.051E-2;-0.657
24.526;4.080E-2;4.344E-2;-0.859
24.560;4.173E-2;1.270E-2;-0.929
24.593;4.164E-2;-1.837E-2;-0.939
24.626;4.051E-2;-4.996E-2;-0.836
24.660;3.831E-2;-7.504E-2;-0.594
24.693;3.551E-2;-8.927E-2;-0.245
24.726;3.237E-2;-9.179E-2;0.130
24.760;2.939E-2;-8.047E-2;0.498
24.793;2.700E-2;-5.829E-2;0.803
24.826;2.550E-2;-2.699E-2;0.997
24.860;2.520E-2;8.855E-3;1.056
24.893;2.609E-2;4.354E-2;0.914
24.926;2.810E-2;7.061E-2;0.665
24.960;3.080E-2;8.746E-2;0.310
24.993;3.393E-2;9.198E-2;-5.880E-2
25.026;3.693E-2;8.298E-2;-0.443
25.060;3.946E-2;6.271E-2;-0.718
25.093;4.111E-2;3.442E-2;-0.890
25.126;4.176E-2;3.359E-3;-0.933
25.160;4.133E-2;-2.807E-2;-0.906
25.193;3.989E-2;-5.716E-2;-0.766
25.226;3.752E-2;-7.961E-2;-0.497
25.259;3.458E-2;-9.049E-2;-0.142
25.293;3.149E-2;-8.896E-2;0.228
25.326;2.865E-2;-7.535E-2;0.576
25.359;2.647E-2;-5.040E-2;0.885
25.393;2.529E-2;-1.620E-2;1.049
25.426;2.539E-2;2.036E-2;1.030
25.459;2.665E-2;5.259E-2;0.839
25.493;2.890E-2;7.671E-2;0.566
25.526;3.176E-2;9.024E-2;0.197
25.559;3.491E-2;9.033E-2;-0.189
25.593;3.778E-2;7.713E-2;
25.626;4.005E-2;;
